instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,first_primal_bound,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time,cg_iterations_total,cg_iterations_root
at62_ftv44,99.5s,6.0,6.0,6.0,0.0,6.0,6.0,1,,99.54,62,62
t62_st70,,,,,,,,,,,190,190
at62_ftv35,3.8s,6.0,6.0,6.0,0.0,6.0,6.0,1,,3.79,31,31
t62_gr24,0.4s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.43,29,29
t84_gr48,4.9s,8.0,8.0,8.0,0.0,8.0,8.0,1,,4.94,43,43
at84_ftv64,34.0s,10.0,10.0,10.0,0.0,10.0,10.0,1,,33.96,45,45
at84_ft70,,,,,,,,,,,94,94
t84_gr24,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.13,11,11
t84_kroD100,,,,,,,,,,,118,118
t84_fri26,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.15,14,14
t84_bays29,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.16,17,17
at62_p43,,1.0,,1.0,0.0,1.0,1.0,1,,290.14,1,1
t62_gr96,,,,,,,,,,,207,207
at62_kro124p,,,,,,,,,,,196,196
at62_ftv38,9.7s,6.0,6.0,6.0,0.0,6.0,6.0,1,,9.74,45,45
t62_berlin52,,,,,,,,,,,125,125
t62_kroE100,,,,,,,,,,,545,545
at84_kro124p,,,,,,,,,,,80,80
t84_pr76,,9.0,,9.0,0.0,9.0,9.0,1,,1539.01,99,99
at62_ftv47,,6.0,,6.0,0.0,6.0,6.0,1,,165.82,39,39
t84_st70,,9.0,,9.0,0.0,9.0,9.0,1,,112.83,62,62
at84_ftv38,0.8s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.81,30,30
at84_ftv35,0.3s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.35,21,21
t84_eil76,,8.0,,9.0,12.5,9.0,8.0,2,,7256.76,81,74
t62_kroB100,,,,,,,,,,,235,235
t62_eil51,,6.0,,6.0,0.0,6.0,6.0,1,,1898.35,65,65
t84_rat99,,,,,,,,,,,127,127
t84_swiss42,1.0s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.97,36,36
t62_att48,,6.0,,6.0,0.0,6.0,6.0,1,,6590.16,72,72
t84_kroB100,,,,,,,,,,,130,130
t84_ulysses16,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.1,14,14
at84_ftv55,8.1s,9.0,9.0,9.0,0.0,9.0,9.0,1,,8.08,43,43
t62_brazil58,,,,,,,,,,,131,131
t62_fri26,0.3s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.33,38,38
at84_ftv44,0.8s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.78,33,33
at84_ft53,41.5s,8.0,8.0,8.0,0.0,8.0,8.0,1,,41.48,47,47
t84_kroE100,,,,,,,,,,,124,124
t62_kroC100,,,,,,,,,,,390,390
at62_br17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.07,5,5
t84_rd100,,,,,,,,,,,164,164
t84_att48,8.4s,8.0,8.0,8.0,0.0,8.0,8.0,1,,8.37,41,41
t84_bayg29,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.13,13,13
at84_br17,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.09,3,3
t62_kroD100,,,,,,,,,,,424,424
at62_ftv55,,6.0,,6.0,0.0,6.0,6.0,1,,559.1,67,67
t84_berlin52,,,,,,,,,,,59,59
t84_kroA100,,,,,,,,,,,125,125
t62_rat99,,,,,,,,,,,291,291
t62_ulysses22,0.3s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.31,26,26
at62_ftv33,1.2s,7.0,7.0,7.0,0.0,7.0,7.0,1,,1.16,29,29
at62_ry48p,,,,,,,,,,,60,60
t84_kroC100,,,,,,,,,,,141,141
t84_burma14,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.08,5,5
t62_eil76,,,,,,,,,,,125,125
at84_ftv70,,9.0,,9.0,0.0,9.0,9.0,1,,132.26,69,69
t84_hk48,4.3s,9.0,9.0,9.0,0.0,9.0,9.0,1,,4.27,34,34
t62_swiss42,,6.0,,6.0,0.0,6.0,6.0,1,,107.25,63,63
t62_pr76,,,,,,,,,,,420,420
at62_ftv64,,,,,,,,,,,104,104
at84_ftv33,0.1s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.14,10,10
t62_rd100,,,,,,,,,,,389,389
t84_ulysses22,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.12,12,12
at84_ry48p,6.5s,8.0,8.0,8.0,0.0,8.0,8.0,1,,6.46,44,44
t62_gr48,,6.0,,6.0,0.0,6.0,6.0,1,,146.02,65,65
t62_burma14,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.1,11,11
t84_gr17,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.1,12,12
t84_eil51,9.0s,8.0,9.0,9.0,0.0,9.0,9.0,15,,28.21,119,43
t62_bays29,0.6s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.6,33,33
t84_gr96,,,,,,,,,,,146,146
t84_gr21,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.08,10,10
t62_gr21,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.15,15,15
t62_kroA100,,,,,,,,,,,827,827
t84_dantzig42,0.8s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.84,25,25
t62_bayg29,1.2s,5.0,5.0,5.0,0.0,5.0,5.0,1,,1.21,25,25
t84_brazil58,,,,,,,,,,,79,79
at84_ftv47,1.0s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.97,27,27
t62_ulysses16,0.1s,4.0,4.0,4.0,0.0,4.0,4.0,1,,0.12,12,12
at62_ft53,,,,,,,,,,,49,49
t62_gr17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.1,13,13
at62_ftv70,,,,,,,,,,,123,123
at62_ft70,,,,,,,,,,,192,192
at84_p43,3.1s,2.0,2.0,2.0,0.0,2.0,2.0,1,,3.12,14,14
t62_dantzig42,12.5s,6.0,6.0,7.0,0.0,6.0,6.0,1,,12.52,53,53
t62_hk48,,,,,,,,,,,115,115
