instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,first_primal_bound,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time,cg_iterations_total,cg_iterations_root
at62_ftv44,77.4s,6.0,6.0,6.0,0.0,6.0,6.0,1,,77.38,48,48
t62_st70,,,,,,,,,,,183,183
at62_ftv35,3.8s,6.0,6.0,6.0,0.0,6.0,6.0,1,,3.75,29,29
t62_gr24,0.5s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.49,28,28
t84_gr48,5.6s,8.0,8.0,8.0,0.0,8.0,8.0,1,,5.61,45,45
at84_ftv64,26.2s,10.0,10.0,10.0,0.0,10.0,10.0,1,,26.2,56,56
at84_ft70,,,,,,,,,,,89,89
t84_gr24,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.11,11,11
t84_kroD100,,,,,,,,,,,120,120
t84_fri26,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.1,13,13
t84_bays29,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.15,16,16
at62_p43,,1.0,,1.0,0.0,1.0,1.0,1,,297.27,1,1
t62_gr96,,,,,,,,,,,220,220
at62_kro124p,,,,,,,,,,,180,180
at62_ftv38,9.6s,6.0,6.0,6.0,0.0,6.0,6.0,1,,9.59,42,42
t62_berlin52,,,,,,,,,,,101,101
t62_kroE100,,,,,,,,,,,419,419
at84_kro124p,,,,,,,,,,,82,82
t84_pr76,,9.0,,9.0,0.0,9.0,9.0,1,,1412.83,78,78
at62_ftv47,,6.0,,6.0,0.0,6.0,6.0,1,,215.55,49,49
t84_st70,76.2s,9.0,9.0,9.0,0.0,9.0,9.0,1,,76.22,59,59
at84_ftv38,0.7s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.71,27,27
at84_ftv35,0.3s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.35,22,22
t84_eil76,,8.0,,9.0,12.5,9.0,8.0,5,,7326.73,80,61
t62_kroB100,,,,,,,,,,,295,295
t62_eil51,,6.0,,6.0,0.0,6.0,6.0,1,,947.2,56,56
t84_rat99,,,,,,,,,,,121,121
t84_swiss42,0.9s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.92,34,34
t62_att48,,6.0,,6.0,0.0,6.0,6.0,1,,4599.65,70,70
t84_kroB100,,,,,,,,,,,152,152
t84_ulysses16,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.12,14,14
at84_ftv55,9.2s,9.0,9.0,9.0,0.0,9.0,9.0,1,,9.19,41,41
t62_brazil58,,,,,,,,,,,145,145
t62_fri26,1.0s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.96,37,37
at84_ftv44,0.7s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.74,32,32
at84_ft53,47.4s,8.0,8.0,8.0,0.0,8.0,8.0,1,,47.43,42,42
t84_kroE100,,,,,,,,,,,130,130
t62_kroC100,,,,,,,,,,,1263,1263
at62_br17,0.0s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.05,5,5
t84_rd100,,,,,,,,,,,145,145
t84_att48,26.7s,8.0,8.0,8.0,0.0,8.0,8.0,1,,26.68,41,41
t84_bayg29,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.11,12,12
at84_br17,0.0s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.03,3,3
t62_kroD100,,,,,,,,,,,265,265
at62_ftv55,,6.0,,6.0,0.0,6.0,6.0,1,,448.83,58,58
t84_berlin52,,,,,,,,,,,63,63
t84_kroA100,,,,,,,,,,,169,169
t62_rat99,,,,,,,,,,,247,247
t62_ulysses22,0.3s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.28,28,28
at62_ftv33,1.2s,7.0,7.0,7.0,0.0,7.0,7.0,1,,1.21,32,32
at62_ry48p,,,,,,,,,,,67,67
t84_kroC100,,,,,,,,,,,172,172
t84_burma14,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.06,5,5
t62_eil76,,,,,,,,,,,154,154
at84_ftv70,,9.0,,9.0,0.0,9.0,9.0,1,,177.59,58,58
t84_hk48,3.6s,9.0,9.0,9.0,0.0,9.0,9.0,1,,3.64,35,35
t62_swiss42,87.4s,6.0,6.0,6.0,0.0,6.0,6.0,1,,87.45,54,54
t62_pr76,,,,,,,,,,,620,620
at62_ftv64,,,,,,,,,,,114,114
at84_ftv33,0.1s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.14,10,10
t62_rd100,,,,,,,,,,,260,260
t84_ulysses22,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.12,12,12
at84_ry48p,7.6s,8.0,8.0,8.0,0.0,8.0,8.0,1,,7.56,30,30
t62_gr48,98.2s,6.0,6.0,6.0,0.0,6.0,6.0,1,,98.21,65,65
t62_burma14,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.1,12,12
t84_gr17,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.1,12,12
t84_eil51,6.2s,8.0,9.0,9.0,0.0,9.0,9.0,15,,25.53,119,47
t62_bays29,0.6s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.57,32,32
t84_gr96,,,,,,,,,,,149,149
t84_gr21,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.09,10,10
t62_gr21,0.2s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.15,15,15
t62_kroA100,,,,,,,,,,,593,593
t84_dantzig42,0.9s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.89,26,26
t62_bayg29,1.2s,5.0,5.0,5.0,0.0,5.0,5.0,1,,1.15,19,19
t84_brazil58,,,,,,,,,,,72,72
at84_ftv47,1.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,1.19,30,30
t62_ulysses16,0.1s,4.0,4.0,4.0,0.0,4.0,4.0,1,,0.1,12,12
at62_ft53,,,,,,,,,,,44,44
t62_gr17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.11,13,13
at62_ftv70,,,,,,,,,,,139,139
at62_ft70,,,,,,,,,,,201,201
at84_p43,3.0s,2.0,2.0,2.0,0.0,2.0,2.0,1,,3.01,14,14
t62_dantzig42,15.5s,6.0,7.0,7.0,0.0,6.0,6.0,41,,113.39,456,46
t62_hk48,,,,,,,,,,,72,72
