instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,first_primal_bound,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time,cg_iterations_total,cg_iterations_root
at62_ftv44,,6.0,,8.0,33.33,7.0,6.0,1,,,1442,67
t62_st70,,,,,,,,,,,136,136
at62_ftv35,3.5s,6.0,6.0,6.0,0.0,6.0,6.0,1,,3.51,67,67
t62_gr24,0.6s,5.0,5.0,6.0,0.0,5.0,5.0,1,,0.61,29,29
t84_gr48,6.4s,8.0,9.0,9.0,0.0,8.0,8.0,41,,42.62,271,57
at84_ftv64,20.6s,10.0,11.0,11.0,10.00,11.0,10.0,1,,,1543,58
at84_ft70,,,,,,,,,,,91,91
t84_gr24,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.11,12,12
t84_kroD100,,,,,,,,,,,151,151
t84_fri26,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.13,13,13
t84_bays29,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.16,20,20
at62_p43,,1.0,,1.0,0.0,1.0,1.0,1,,300.11,1,1
t62_gr96,,,,,,,,,,,216,216
at62_kro124p,,,,,,,,,,,234,234
at62_ftv38,7.5s,6.0,6.0,6.0,0.0,6.0,6.0,1,,7.53,44,44
t62_berlin52,,,,,,,,,,,139,139
t62_kroE100,,,,,,,,,,,474,474
at84_kro124p,,,,,,,,,,,116,116
t84_pr76,,9.0,,10.0,0.0,9.0,9.0,1,,1610.53,98,98
at62_ftv47,12.6s,6.0,6.0,6.0,0.0,6.0,6.0,1,,174.13,97,97
t84_st70,,9.0,,10.0,11.11,10.0,9.0,1,,,1682,81
at84_ftv38,0.9s,9.0,9.0,10.0,0.0,9.0,9.0,1,,0.91,39,39
at84_ftv35,0.3s,9.0,9.0,10.0,0.0,9.0,9.0,1,,0.34,25,25
t84_eil76,,8.0,,10.0,25.0,10.0,8.0,4,,7487.62,105,91
t62_kroB100,,,,,,,,,,,560,560
t62_eil51,,6.0,,6.0,0.0,6.0,6.0,1,,1248.59,70,70
t84_rat99,,,,,,,,,,,129,129
t84_swiss42,1.2s,9.0,9.0,9.0,0.0,9.0,9.0,1,,1.24,41,41
t62_att48,,,,,,,,,,,64,64
t84_kroB100,,,,,,,,,,,133,133
t84_ulysses16,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.12,13,13
at84_ftv55,6.4s,9.0,9.0,9.0,0.0,9.0,9.0,1,,6.39,55,55
t62_brazil58,,,,,,,,,,,198,198
t62_fri26,0.8s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.85,36,36
at84_ftv44,0.9s,9.0,10.0,10.0,0.0,9.0,9.0,41,,13.73,209,29
at84_ft53,36.9s,8.0,10.0,10.0,0.0,8.0,8.0,41,,700.77,235,47
t84_kroE100,,,,,,,,,,,136,136
t62_kroC100,,,,,,,,,,,273,273
at62_br17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.1,5,5
t84_rd100,,,,,,,,,,,151,151
t84_att48,15.3s,8.0,9.0,9.0,0.0,8.0,8.0,9,,27.37,127,86
t84_bayg29,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.14,14,14
at84_br17,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.06,3,3
t62_kroD100,,,,,,,,,,,444,444
at62_ftv55,,6.0,,8.0,33.33,8.0,6.0,304,,7214.52,2551,97
t84_berlin52,,,,,,,,,,,63,63
t84_kroA100,,,,,,,,,,,183,183
t62_rat99,,,,,,,,,,,222,222
t62_ulysses22,0.3s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.34,28,28
at62_ftv33,1.1s,7.0,7.0,8.0,0.0,7.0,7.0,1,,1.06,28,28
at62_ry48p,,,,,,,,,,,56,56
t84_kroC100,,,,,,,,,,,159,159
t84_burma14,0.0s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.05,5,5
t62_eil76,,,,,,,,,,,140,140
at84_ftv70,,9.0,,11.0,0.0,9.0,9.0,95,,1863.88,681,71
t84_hk48,3.3s,9.0,10.0,10.0,0.0,9.0,9.0,41,,35.76,231,45
t62_swiss42,83.4s,6.0,7.0,7.0,0.0,6.0,6.0,41,,563.17,293,51
t62_pr76,,,,,,,,,,,1506,1506
at62_ftv64,,,,,,,,,,,151,151
at84_ftv33,0.2s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.18,17,17
t62_rd100,,,,,,,,,,,236,236
t84_ulysses22,0.2s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.18,17,17
at84_ry48p,8.9s,8.0,9.0,9.0,0.0,8.0,8.0,58,,132.47,321,36
t62_gr48,,6.0,,7.0,0.0,6.0,6.0,61,,1140.93,426,84
t62_burma14,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.11,12,12
t84_gr17,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.12,12,12
t84_eil51,6.9s,8.0,9.0,9.0,0.0,9.0,9.0,13,,27.21,114,50
t62_bays29,0.7s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.69,33,33
t84_gr96,,,,,,,,,,,106,106
t84_gr21,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.07,10,10
t62_gr21,0.2s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.17,24,24
t62_kroA100,,,,,,,,,,,589,589
t84_dantzig42,0.6s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.64,20,20
t62_bayg29,1.6s,5.0,5.0,5.0,0.0,5.0,5.0,1,,1.59,31,31
t84_brazil58,,,,,,,,,,,124,124
at84_ftv47,1.2s,8.0,9.0,9.0,0.0,8.0,8.0,5,,2.63,56,36
t62_ulysses16,0.1s,4.0,4.0,4.0,0.0,4.0,4.0,1,,0.11,13,13
at62_ft53,,,,,,,,,,,84,84
t62_gr17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.09,13,13
at62_ftv70,,,,,,,,,,,105,105
at62_ft70,,,,,,,,,,,212,212
at84_p43,2.8s,2.0,2.0,2.0,0.0,2.0,2.0,1,,2.82,14,14
t62_dantzig42,10.7s,6.0,6.0,7.0,0.0,6.0,6.0,1,,10.66,55,55
t62_hk48,,1.0,,7.0,600.00,7.0,1.0,1,,,103,103
