instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,first_primal_bound,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time,cg_iterations_total,cg_iterations_root
at62_ftv44,,6.0,,6.0,0.0,6.0,6.0,1,,2111.04,64,64
t62_st70,,,,,,,,,,,252,252
at62_ftv35,19.5s,6.0,6.0,6.0,0.0,6.0,6.0,1,,19.48,28,28
t62_gr24,1.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,1.06,24,24
t84_gr48,32.5s,8.0,8.0,8.0,0.0,8.0,8.0,1,,32.45,36,36
at84_ftv64,,10.0,,10.0,0.0,10.0,10.0,1,,311.22,41,41
at84_ft70,,,,,,,,,,,74,74
t84_gr24,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.12,10,10
t84_kroD100,,,,,,,,,,,135,135
t84_fri26,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.23,15,15
t84_bays29,0.3s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.31,17,17
at62_p43,,1.0,,1.0,0.0,1.0,1.0,1,,118.98,1,1
t62_gr96,,,,,,,,,,,238,238
at62_kro124p,,,,,,,,,,,240,240
at62_ftv38,50.8s,6.0,6.0,6.0,0.0,6.0,6.0,1,,50.84,49,49
t62_berlin52,,,,,,,,,,,98,98
t62_kroE100,,,,,,,,,,,407,407
at84_kro124p,,,,,,,,,,,90,90
t84_pr76,,,,,,,,,,,76,76
at62_ftv47,,6.0,,6.0,0.0,6.0,6.0,1,,1505.95,55,55
t84_st70,,9.0,,9.0,0.0,9.0,9.0,1,,723.39,57,57
at84_ftv38,4.6s,9.0,9.0,9.0,0.0,9.0,9.0,1,,4.57,22,22
at84_ftv35,0.8s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.78,21,21
t84_eil76,,,,,,,,,,,83,83
t62_kroB100,,,,,,,,,,,590,590
t62_eil51,,,,,,,,,,,42,42
t84_rat99,,,,,,,,,,,117,117
t84_swiss42,5.2s,9.0,9.0,9.0,0.0,9.0,9.0,1,,5.25,32,32
t62_att48,,,,,,,,,,,60,60
t84_kroB100,,,,,,,,,,,134,134
t84_ulysses16,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.09,14,14
at84_ftv55,83.6s,9.0,9.0,9.0,0.0,9.0,9.0,1,,83.6,48,48
t62_brazil58,,,,,,,,,,,157,157
t62_fri26,2.0s,6.0,6.0,6.0,0.0,6.0,6.0,1,,1.96,33,33
at84_ftv44,5.6s,9.0,9.0,9.0,0.0,9.0,9.0,1,,5.57,32,32
at84_ft53,,8.0,,8.0,0.0,8.0,8.0,1,,1173.07,50,50
t84_kroE100,,,,,,,,,,,167,167
t62_kroC100,,,,,,,,,,,4071,4071
at62_br17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.09,4,4
t84_rd100,,,,,,,,,,,150,150
t84_att48,,8.0,,8.0,0.0,8.0,8.0,1,,130.1,36,36
t84_bayg29,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.23,14,14
at84_br17,0.0s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.04,3,3
t62_kroD100,,,,,,,,,,,828,828
at62_ftv55,,,,,,,,,,,73,73
t84_berlin52,,,,,,,,,,,64,64
t84_kroA100,,,,,,,,,,,185,185
t62_rat99,,,,,,,,,,,182,182
t62_ulysses22,0.6s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.55,27,27
at62_ftv33,5.3s,7.0,7.0,7.0,0.0,7.0,7.0,1,,5.29,30,30
at62_ry48p,,,,,,,,,,,63,63
t84_kroC100,,,,,,,,,,,145,145
t84_burma14,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.08,4,4
t62_eil76,,,,,,,,,,,143,143
at84_ftv70,,9.0,,9.0,0.0,9.0,9.0,1,,6406.95,67,67
