instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,first_primal_bound,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time,cg_iterations_total,cg_iterations_root
at62_ftv44,0.2s,6.0,6.0,6.0,0.0,6.0,6.0,1,,149.88,16,16
t62_st70,0.4s,1.0,6.0,6.0,500.00,6.0,1.0,1,,,9,9
at62_ftv35,7.3s,6.0,6.0,6.0,0.0,6.0,6.0,1,,7.25,11,11
t62_gr24,0.7s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.71,9,9
t84_gr48,4.6s,8.0,8.0,8.0,0.0,8.0,8.0,1,,4.59,12,12
at84_ftv64,19.8s,10.0,10.0,10.0,0.0,10.0,10.0,1,,19.79,11,11
at84_ft70,4.8s,1.0,9.0,9.0,800.00,9.0,1.0,1,,,6,6
t84_gr24,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.1,5,5
t84_kroD100,0.5s,1.0,9.0,9.0,800.00,9.0,1.0,1,,,11,11
t84_fri26,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.11,5,5
t84_bays29,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.12,5,5
at62_p43,,1.0,,1.0,0.0,1.0,1.0,1,,288.31,1,1
t62_gr96,2.6s,1.0,7.0,7.0,600.00,7.0,1.0,1,,,7,7
at62_kro124p,4.5s,1.0,7.0,7.0,600.00,7.0,1.0,1,,,5,5
at62_ftv38,9.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,9.07,13,13
t62_berlin52,0.3s,1.0,6.0,6.0,500.00,6.0,1.0,1,,,9,9
t62_kroE100,3.6s,1.0,7.0,7.0,600.00,7.0,1.0,1,,,7,7
at84_kro124p,1.3s,1.0,9.0,9.0,800.00,9.0,1.0,1,,,8,8
t84_pr76,0.2s,9.0,9.0,9.0,0.0,9.0,9.0,1,,1618.96,19,19
at62_ftv47,0.2s,6.0,6.0,6.0,0.0,6.0,6.0,1,,341.24,13,13
t84_st70,73.2s,9.0,9.0,9.0,0.0,9.0,9.0,1,,73.15,15,15
at84_ftv38,1.0s,9.0,9.0,9.0,0.0,9.0,9.0,1,,1.0,8,8
at84_ftv35,0.2s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.25,6,6
t84_eil76,0.3s,8.0,9.0,9.0,12.5,9.0,8.0,5,,7279.2,27,15
t62_kroB100,17.4s,1.0,8.0,8.0,700.00,8.0,1.0,1,,,8,8
t62_eil51,0.2s,6.0,6.0,6.0,0.0,6.0,6.0,1,,1304.78,14,14
t84_rat99,0.4s,1.0,10.0,10.0,900.00,10.0,1.0,1,,,14,14
t84_swiss42,1.1s,9.0,9.0,9.0,0.0,9.0,9.0,1,,1.06,11,11
t62_att48,0.2s,6.0,6.0,6.0,0.0,6.0,6.0,1,,6624.06,20,20
t84_kroB100,0.8s,1.0,9.0,9.0,800.00,9.0,1.0,1,,,17,17
t84_ulysses16,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.09,4,4
at84_ftv55,7.8s,9.0,9.0,9.0,0.0,9.0,9.0,1,,7.79,10,10
t62_brazil58,8.4s,1.0,5.0,5.0,400.00,5.0,1.0,1,,,8,8
t62_fri26,1.2s,6.0,6.0,6.0,0.0,6.0,6.0,1,,1.23,12,12
at84_ftv44,0.7s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.66,7,7
at84_ft53,76.6s,8.0,8.0,8.0,0.0,8.0,8.0,1,,76.58,11,11
t84_kroE100,0.8s,1.0,9.0,9.0,800.00,9.0,1.0,1,,,11,11
t62_kroC100,15.2s,1.0,7.0,7.0,600.00,7.0,1.0,1,,,7,7
at62_br17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.08,3,3
t84_rd100,1.0s,1.0,10.0,10.0,900.00,10.0,1.0,1,,,10,10
t84_att48,13.4s,8.0,8.0,8.0,0.0,8.0,8.0,1,,13.45,17,17
t84_bayg29,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.11,4,4
at84_br17,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.1,3,3
t62_kroD100,3.4s,1.0,7.0,7.0,600.00,7.0,1.0,1,,,6,6
at62_ftv55,0.2s,6.0,6.0,6.0,0.0,6.0,6.0,1,,716.88,17,17
t84_berlin52,0.3s,1.0,9.0,9.0,800.00,9.0,1.0,1,,,10,10
t84_kroA100,0.5s,1.0,9.0,9.0,800.00,9.0,1.0,1,,,16,16
t62_rat99,3.2s,1.0,7.0,7.0,600.00,7.0,1.0,1,,,8,8
t62_ulysses22,0.5s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.53,9,9
at62_ftv33,1.6s,7.0,7.0,7.0,0.0,7.0,7.0,1,,1.55,12,12
at62_ry48p,0.5s,1.0,6.0,6.0,500.00,6.0,1.0,1,,,10,10
t84_kroC100,0.2s,1.0,9.0,9.0,800.00,9.0,1.0,1,,,15,15
t84_burma14,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.08,3,3
t62_eil76,1.5s,1.0,6.0,6.0,500.00,6.0,1.0,1,,,7,7
at84_ftv70,0.2s,9.0,9.0,9.0,0.0,9.0,9.0,1,,186.55,13,13
t84_hk48,3.6s,9.0,9.0,9.0,0.0,9.0,9.0,1,,3.63,11,11
t62_swiss42,63.6s,6.0,6.0,6.0,0.0,6.0,6.0,1,,63.6,12,12
t62_pr76,2.2s,1.0,6.0,6.0,500.00,6.0,1.0,1,,,7,7
at62_ftv64,1.7s,1.0,7.0,7.0,600.00,7.0,1.0,1,,,5,5
at84_ftv33,0.4s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.37,9,9
t62_rd100,4.6s,1.0,7.0,7.0,600.00,7.0,1.0,1,,,8,8
t84_ulysses22,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.15,6,6
at84_ry48p,8.8s,8.0,8.0,8.0,0.0,8.0,8.0,1,,8.83,14,14
t62_gr48,0.2s,6.0,6.0,6.0,0.0,6.0,6.0,1,,101.62,14,14
t62_burma14,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.08,4,4
t84_gr17,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.08,5,5
t84_eil51,6.9s,8.0,9.0,9.0,0.0,9.0,9.0,3,,12.58,15,9
t62_bays29,0.9s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.91,9,9
t84_gr96,0.7s,1.0,9.0,9.0,800.00,9.0,1.0,1,,,12,12
