instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,first_primal_bound,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time,cg_iterations_total,cg_iterations_root
at62_ftv44,,6.0,,6.0,0.0,6.0,6.0,1,,690.49,52,52
t62_st70,,,,,,,,,,,156,156
at62_ftv35,9.8s,6.0,6.0,6.0,0.0,6.0,6.0,1,,9.76,26,26
t62_gr24,0.4s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.36,30,30
t84_gr48,20.6s,8.0,8.0,8.0,0.0,8.0,8.0,1,,20.64,53,53
at84_ftv64,,10.0,,10.0,0.0,10.0,10.0,1,,130.23,49,49
at84_ft70,,,,,,,,,,,104,104
t84_gr24,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.1,11,11
t84_kroD100,,,,,,,,,,,131,131
t84_fri26,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.1,13,13
t84_bays29,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.17,17,17
at62_p43,,1.0,,1.0,0.0,1.0,1.0,1,,2290.7,1,1
t62_gr96,,,,,,,,,,,207,207
at62_kro124p,,,,,,,,,,,246,246
at62_ftv38,34.0s,6.0,6.0,6.0,0.0,6.0,6.0,1,,34.01,53,53
t62_berlin52,,,,,,,,,,,117,117
t62_kroE100,,,,,,,,,,,377,377
at84_kro124p,,,,,,,,,,,96,96
t84_pr76,,,,,,,,,,,77,77
at62_ftv47,,6.0,,6.0,0.0,6.0,6.0,1,,1394.94,38,38
t84_st70,,9.0,,9.0,0.0,9.0,9.0,1,,422.64,53,53
at84_ftv38,1.3s,9.0,9.0,9.0,0.0,9.0,9.0,1,,1.35,20,20
at84_ftv35,0.3s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.32,22,22
t84_eil76,,1.0,,10.0,900.0,10.0,1.0,1,,7350.55,70,70
t62_kroB100,,,,,,,,,,,244,244
t62_eil51,,6.0,,6.0,0.0,6.0,6.0,1,,6806.77,60,60
t84_rat99,,,,,,,,,,,119,119
t84_swiss42,1.8s,9.0,9.0,9.0,0.0,9.0,9.0,1,,1.84,32,32
t62_att48,,,,,,,,,,,76,76
t84_kroB100,,,,,,,,,,,152,152
t84_ulysses16,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.1,15,15
at84_ftv55,28.8s,9.0,9.0,9.0,0.0,9.0,9.0,1,,28.84,38,38
t62_brazil58,,,,,,,,,,,579,579
t62_fri26,0.8s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.84,29,29
at84_ftv44,1.1s,9.0,9.0,9.0,0.0,9.0,9.0,1,,1.06,29,29
at84_ft53,,8.0,,8.0,0.0,8.0,8.0,1,,430.66,40,40
t84_kroE100,,,,,,,,,,,126,126
t62_kroC100,,,,,,,,,,,426,426
at62_br17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.07,5,5
t84_rd100,,,,,,,,,,,150,150
t84_att48,26.0s,8.0,8.0,8.0,0.0,8.0,8.0,1,,25.99,37,37
t84_bayg29,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.16,16,16
at84_br17,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.08,3,3
t62_kroD100,,,,,,,,,,,639,639
at62_ftv55,,6.0,,6.0,0.0,6.0,6.0,1,,2327.45,68,68
t84_berlin52,,,,,,,,,,,91,91
t84_kroA100,,1.0,,9.0,800.0,9.0,1.0,1,,7297.39,142,142
t62_rat99,,,,,,,,,,,365,365
t62_ulysses22,0.3s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.31,28,28
at62_ftv33,3.4s,7.0,7.0,7.0,0.0,7.0,7.0,1,,3.37,29,29
at62_ry48p,,,,,,,,,,,64,64
t84_kroC100,,,,,,,,,,,183,183
t84_burma14,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.07,5,5
t62_eil76,,,,,,,,,,,238,238
at84_ftv70,,9.0,,9.0,0.0,9.0,9.0,1,,723.04,57,57
t84_hk48,9.8s,9.0,9.0,9.0,0.0,9.0,9.0,1,,9.79,28,28
t62_swiss42,,6.0,,6.0,0.0,6.0,6.0,1,,705.81,48,48
t62_pr76,,,,,,,,,,,566,566
at62_ftv64,56.3s,1.0,7.0,7.0,600.00,7.0,1.0,1,,,102,102
at84_ftv33,0.1s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.14,10,10
t62_rd100,,,,,,,,,,,365,365
t84_ulysses22,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.11,12,12
at84_ry48p,34.9s,8.0,8.0,8.0,0.0,8.0,8.0,1,,34.87,32,32
t62_gr48,,6.0,,6.0,0.0,6.0,6.0,1,,1191.79,65,65
t62_burma14,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.1,12,12
t84_gr17,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.08,12,12
t84_eil51,25.9s,8.0,9.0,9.0,0.0,9.0,9.0,7,,79.14,71,45
t62_bays29,1.5s,6.0,6.0,6.0,0.0,6.0,6.0,1,,1.55,29,29
t84_gr96,,,,,,,,,,,111,111
t84_gr21,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.07,10,10
