instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,first_primal_bound,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time,cg_iterations_total,cg_iterations_root
at62_ftv44,,6.0,,8.0,0.0,6.0,6.0,1,,239.15,64,64
t62_st70,,,,,,,,,,,284,284
at62_ftv35,7.7s,6.0,7.0,7.0,0.0,6.0,6.0,4,,9.56,65,49
t62_gr24,1.4s,5.0,5.0,6.0,0.0,5.0,5.0,1,,1.36,29,29
t84_gr48,13.3s,8.0,9.0,9.0,0.0,8.0,8.0,41,,127.94,264,52
at84_ftv64,64.8s,10.0,10.0,11.0,0.0,10.0,10.0,1,,64.76,60,60
at84_ft70,,,,,,,,,,,91,91
t84_gr24,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.11,12,12
t84_kroD100,,,,,,,,,,,132,132
t84_fri26,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.14,13,13
t84_bays29,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.17,20,20
at62_p43,,1.0,,1.0,0.0,1.0,1.0,1,,309.05,1,1
t62_gr96,,,,,,,,,,,235,235
at62_kro124p,,,,,,,,,,,212,212
at62_ftv38,30.8s,6.0,6.0,6.0,0.0,6.0,6.0,1,,30.75,48,48
t62_berlin52,,,,,,,,,,,159,159
t62_kroE100,,,,,,,,,,,414,414
at84_kro124p,,,,,,,,,,,104,104
t84_pr76,,9.0,,10.0,11.11,10.0,9.0,1,,,129,118
at62_ftv47,,6.0,,8.0,0.0,6.0,6.0,3,,1357.33,89,83
t84_st70,,9.0,,10.0,0.0,9.0,9.0,1014,,6227.16,4393,74
at84_ftv38,1.4s,9.0,10.0,10.0,0.0,9.0,9.0,41,,12.77,210,33
at84_ftv35,0.6s,9.0,10.0,10.0,0.0,9.0,9.0,99,,13.47,302,20
t84_eil76,,,,,,,,,,,72,72
t62_kroB100,,,,,,,,,,,310,310
t62_eil51,,6.0,,7.0,16.67,7.0,6.0,1,,,70,62
t84_rat99,,,,,,,,,,,119,119
t84_swiss42,2.4s,9.0,9.0,9.0,0.0,9.0,9.0,1,,2.35,33,33
t62_att48,,,,,,,,,,,48,48
t84_kroB100,,,,,,,,,,,126,126
t84_ulysses16,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.11,13,13
at84_ftv55,27.1s,9.0,11.0,11.0,0.0,9.0,9.0,41,,238.24,229,57
t62_brazil58,,,,,,,,,,,431,431
t62_fri26,1.5s,6.0,6.0,6.0,0.0,6.0,6.0,1,,1.51,36,36
at84_ftv44,1.5s,9.0,10.0,10.0,0.0,9.0,9.0,61,,22.18,235,29
at84_ft53,,8.0,,10.0,12.5,9.0,8.0,1520,,7200.97,3545,49
t84_kroE100,,,,,,,,,,,123,123
t62_kroC100,,,,,,,,,,,254,254
at62_br17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.09,5,5
t84_rd100,,,,,,,,,,,134,134
t84_att48,55.2s,8.0,9.0,9.0,0.0,8.0,8.0,15,,118.28,194,54
t84_bayg29,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.16,15,15
at84_br17,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.07,3,3
t62_kroD100,,,,,,,,,,,406,406
at62_ftv55,,6.0,,8.0,16.67,7.0,6.0,38,,7258.95,397,120
t84_berlin52,,,,,,,,,,,64,64
t84_kroA100,,,,,,,,,,,218,218
t62_rat99,,,,,,,,,,,280,280
t62_ulysses22,0.3s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.33,24,24
at62_ftv33,2.2s,7.0,7.0,8.0,0.0,7.0,7.0,1,,2.2,29,29
at62_ry48p,,,,,,,,,,,35,35
t84_kroC100,,,,,,,,,,,165,165
t84_burma14,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.06,5,5
t62_eil76,,,,,,,,,,,202,202
at84_ftv70,,9.0,,11.0,22.22,11.0,9.0,80,,7228.35,480,62
t84_hk48,9.6s,9.0,10.0,10.0,0.0,9.0,9.0,41,,39.57,211,39
t62_swiss42,,6.0,,7.0,0.0,6.0,6.0,41,,2952.98,291,65
t62_pr76,,,,,,,,,,,1246,1246
at62_ftv64,,,,,,,,,,,132,132
at84_ftv33,0.2s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.21,16,16
t62_rd100,,,,,,,,,,,234,234
t84_ulysses22,0.3s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.26,17,17
at84_ry48p,30.7s,8.0,9.0,9.0,0.0,8.0,8.0,41,,187.65,215,32
t62_gr48,,6.0,,7.0,0.0,6.0,6.0,81,,5042.77,475,76
t62_burma14,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.11,12,12
t84_gr17,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.1,12,12
t84_eil51,14.9s,8.0,9.0,9.0,0.0,9.0,9.0,11,,64.94,100,46
t62_bays29,1.4s,6.0,6.0,6.0,0.0,6.0,6.0,1,,1.36,26,26
t84_gr96,,,,,,,,,,,151,151
t84_gr21,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.11,10,10
t62_gr21,0.2s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.21,27,27
t62_kroA100,,,,,,,,,,,581,581
t84_dantzig42,1.3s,9.0,9.0,9.0,0.0,9.0,9.0,1,,1.29,21,21
t62_bayg29,3.0s,5.0,5.0,5.0,0.0,5.0,5.0,1,,2.96,34,34
t84_brazil58,,8.0,,9.0,800.00,9.0,8.0,1,,,149,109
at84_ftv47,1.8s,8.0,8.0,8.0,0.0,8.0,8.0,1,,1.78,40,40
t62_ulysses16,0.1s,4.0,4.0,4.0,0.0,4.0,4.0,1,,0.1,12,12
at62_ft53,,,,,,,,,,,75,75
t62_gr17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.11,13,13
at62_ftv70,,,,,,,,,,,107,107
at62_ft70,,,,,,,,,,,172,172
at84_p43,4.2s,2.0,2.0,2.0,0.0,2.0,2.0,1,,4.15,14,14
t62_dantzig42,33.3s,6.0,7.0,7.0,0.0,6.0,6.0,41,,156.54,271,51
t62_hk48,,1.0,,7.0,600.0,7.0,1.0,1,,7350.4,72,72
