instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,first_primal_bound,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time,cg_iterations_total,cg_iterations_root
at62_ftv44,,6.0,,6.0,0.0,6.0,6.0,1,,100.05,63,63
t62_st70,,,,,,,,,,,152,152
at62_ftv35,4.7s,6.0,6.0,6.0,0.0,6.0,6.0,1,,4.7,22,22
t62_gr24,0.4s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.39,28,28
t84_gr48,4.8s,8.0,8.0,8.0,0.0,8.0,8.0,1,,4.82,31,31
at84_ftv64,32.7s,10.0,10.0,10.0,0.0,10.0,10.0,1,,32.75,44,44
at84_ft70,,,,,,,,,,,80,80
t84_gr24,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.13,11,11
t84_kroD100,,,,,,,,,,,132,132
t84_fri26,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.19,17,17
t84_bays29,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.21,23,23
at62_p43,,1.0,,1.0,0.0,1.0,1.0,1,,295.9,1,1
t62_gr96,,,,,,,,,,,160,160
at62_kro124p,,,,,,,,,,,188,188
at62_ftv38,10.8s,6.0,6.0,6.0,0.0,6.0,6.0,1,,10.8,46,46
t62_berlin52,,,,,,,,,,,81,81
t62_kroE100,,,,,,,,,,,736,736
at84_kro124p,,,,,,,,,,,96,96
t84_pr76,,9.0,,9.0,0.0,9.0,9.0,1,,1467.47,59,59
at62_ftv47,,6.0,,6.0,0.0,6.0,6.0,1,,261.85,86,86
t84_st70,,9.0,,9.0,0.0,9.0,9.0,1,,111.66,69,69
at84_ftv38,0.8s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.8,21,21
at84_ftv35,0.4s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.37,24,24
t84_eil76,,8.0,,10.0,12.5,9.0,8.0,5,,7417.93,90,69
t62_kroB100,,,,,,,,,,,468,468
t62_eil51,,6.0,,6.0,0.0,6.0,6.0,1,,1342.67,48,48
t84_rat99,,,,,,,,,,,98,98
t84_swiss42,1.1s,9.0,9.0,9.0,0.0,9.0,9.0,1,,1.08,32,32
t62_att48,,6.0,,6.0,0.0,6.0,6.0,1,,3745.4,91,91
t84_kroB100,,,,,,,,,,,91,91
t84_ulysses16,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.12,13,13
at84_ftv55,7.7s,9.0,9.0,9.0,0.0,9.0,9.0,1,,7.67,46,46
t62_brazil58,,,,,,,,,,,160,160
t62_fri26,0.6s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.56,42,42
at84_ftv44,0.8s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.78,28,28
at84_ft53,42.4s,8.0,8.0,8.0,0.0,8.0,8.0,1,,42.39,41,41
t84_kroE100,,,,,,,,,,,123,123
t62_kroC100,,,,,,,,,,,246,246
at62_br17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.09,6,6
t84_rd100,,,,,,,,,,,119,119
t84_att48,15.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,15.11,35,35
t84_bayg29,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.14,14,14
at84_br17,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.08,3,3
t62_kroD100,,,,,,,,,,,493,493
at62_ftv55,,6.0,,6.0,0.0,6.0,6.0,1,,728.69,57,57
t84_berlin52,,,,,,,,,,,75,75
t84_kroA100,,,,,,,,,,,117,117
t62_rat99,,,,,,,,,,,212,212
t62_ulysses22,0.3s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.27,20,20
at62_ftv33,1.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,1.14,31,31
at62_ry48p,,,,,,,,,,,67,67
t84_kroC100,,,,,,,,,,,111,111
t84_burma14,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.1,5,5
t62_eil76,,,,,,,,,,,163,163
at84_ftv70,93.6s,9.0,9.0,9.0,0.0,9.0,9.0,1,,93.61,53,53
t84_hk48,3.9s,9.0,9.0,9.0,0.0,9.0,9.0,1,,3.9,28,28
t62_swiss42,56.9s,6.0,6.0,6.0,0.0,6.0,6.0,1,,56.94,58,58
t62_pr76,,,,,,,,,,,996,996
at62_ftv64,,,,,,,,,,,86,86
at84_ftv33,0.2s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.2,12,12
t62_rd100,,,,,,,,,,,267,267
t84_ulysses22,0.2s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.16,25,25
at84_ry48p,8.6s,8.0,8.0,8.0,0.0,8.0,8.0,1,,8.62,38,38
t62_gr48,,6.0,,6.0,0.0,6.0,6.0,1,,208.02,57,57
t62_burma14,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.09,15,15
t84_gr17,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.12,14,14
t84_eil51,8.5s,8.0,9.0,9.0,0.0,9.0,9.0,7,,19.37,87,54
t62_bays29,0.8s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.76,36,36
t84_gr96,,,,,,,,,,,137,137
t84_gr21,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.1,10,10
t62_gr21,0.2s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.18,21,21
t62_kroA100,,,,,,,,,,,1183,1183
t84_dantzig42,0.7s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.68,23,23
t62_bayg29,1.3s,5.0,5.0,5.0,0.0,5.0,5.0,1,,1.25,22,22
t84_brazil58,,,,,,,,,,,67,67
at84_ftv47,1.0s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.98,26,26
t62_ulysses16,0.1s,4.0,4.0,4.0,0.0,4.0,4.0,1,,0.14,24,24
at62_ft53,,,,,,,,,,,52,52
t62_gr17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.12,18,18
at62_ftv70,,,,,,,,,,,100,100
at62_ft70,,,,,,,,,,,220,220
at84_p43,3.0s,2.0,2.0,2.0,0.0,2.0,2.0,1,,3.0,14,14
t62_dantzig42,13.6s,6.0,6.0,7.0,0.0,6.0,6.0,1,,13.58,39,39
t62_hk48,,,,,,,,,,,55,55
