instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,first_primal_bound,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time,cg_iterations_total,cg_iterations_root
at62_ftv44,,6.0,,6.0,0.0,6.0,6.0,1,,101.09,56,56
t62_st70,,,,,,,,,,,189,189
at62_ftv35,4.6s,6.0,6.0,6.0,0.0,6.0,6.0,1,,4.55,22,22
t62_gr24,0.4s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.38,30,30
t84_gr48,4.3s,8.0,8.0,8.0,0.0,8.0,8.0,1,,4.34,32,32
at84_ftv64,34.3s,10.0,10.0,10.0,0.0,10.0,10.0,1,,34.28,48,48
at84_ft70,,,,,,,,,,,84,84
t84_gr24,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.12,11,11
t84_kroD100,,,,,,,,,,,107,107
t84_fri26,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.16,16,16
t84_bays29,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.15,16,16
at62_p43,,1.0,,1.0,0.0,1.0,1.0,1,,291.27,1,1
t62_gr96,,,,,,,,,,,223,223
at62_kro124p,,,,,,,,,,,222,222
at62_ftv38,9.4s,6.0,6.0,6.0,0.0,6.0,6.0,1,,9.35,48,48
t62_berlin52,,,,,,,,,,,77,77
t62_kroE100,,,,,,,,,,,544,544
at84_kro124p,,,,,,,,,,,97,97
t84_pr76,,9.0,,9.0,0.0,9.0,9.0,1,,1499.24,73,73
at62_ftv47,,6.0,,6.0,0.0,6.0,6.0,1,,161.82,45,45
t84_st70,81.6s,9.0,9.0,9.0,0.0,9.0,9.0,1,,81.57,56,56
at84_ftv38,1.2s,9.0,9.0,9.0,0.0,9.0,9.0,1,,1.24,27,27
at84_ftv35,0.3s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.31,25,25
t84_eil76,,8.0,,9.0,12.50,9.0,8.0,1,,,63,63
t62_kroB100,,,,,,,,,,,283,283
t62_eil51,,6.0,,6.0,0.0,6.0,6.0,1,,1259.7,49,49
t84_rat99,,,,,,,,,,,142,142
t84_swiss42,1.1s,9.0,9.0,9.0,0.0,9.0,9.0,1,,1.06,38,38
t62_att48,,6.0,,6.0,0.0,6.0,6.0,1,,3504.05,75,75
t84_kroB100,,,,,,,,,,,183,183
t84_ulysses16,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.11,15,15
at84_ftv55,6.5s,9.0,9.0,9.0,0.0,9.0,9.0,1,,6.55,42,42
t62_brazil58,,,,,,,,,,,176,176
t62_fri26,1.4s,6.0,6.0,6.0,0.0,6.0,6.0,1,,1.36,30,30
at84_ftv44,0.7s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.74,31,31
at84_ft53,36.8s,8.0,8.0,8.0,0.0,8.0,8.0,1,,36.81,43,43
t84_kroE100,,,,,,,,,,,138,138
t62_kroC100,,,,,,,,,,,1606,1606
at62_br17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.09,5,5
t84_rd100,,,,,,,,,,,186,186
t84_att48,31.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,31.12,41,41
t84_bayg29,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.16,16,16
at84_br17,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.05,3,3
t62_kroD100,,,,,,,,,,,450,450
at62_ftv55,,6.0,,6.0,0.0,6.0,6.0,1,,941.65,57,57
t84_berlin52,,,,,,,,,,,68,68
t84_kroA100,,,,,,,,,,,139,139
t62_rat99,,,,,,,,,,,276,276
t62_ulysses22,0.3s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.3,24,24
at62_ftv33,1.5s,7.0,7.0,7.0,0.0,7.0,7.0,1,,1.49,29,29
at62_ry48p,,,,,,,,,,,59,59
t84_kroC100,,,,,,,,,,,135,135
t84_burma14,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.09,5,5
t62_eil76,,,,,,,,,,,117,117
at84_ftv70,,9.0,,9.0,0.0,9.0,9.0,1,,126.83,64,64
t84_hk48,2.5s,9.0,9.0,9.0,0.0,9.0,9.0,1,,2.48,31,31
t62_swiss42,78.7s,6.0,6.0,6.0,0.0,6.0,6.0,1,,78.71,48,48
t62_pr76,,,,,,,,,,,615,615
at62_ftv64,,,,,,,,,,,84,84
at84_ftv33,0.1s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.12,10,10
t62_rd100,,,,,,,,,,,391,391
t84_ulysses22,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.12,12,12
at84_ry48p,10.4s,8.0,8.0,8.0,0.0,8.0,8.0,1,,10.36,30,30
t62_gr48,,6.0,,6.0,0.0,6.0,6.0,1,,135.42,77,77
t62_burma14,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.1,11,11
t84_gr17,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.07,12,12
t84_eil51,6.7s,8.0,9.0,9.0,12.50,9.0,8.0,1,,,44,44
t62_bays29,0.9s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.85,34,34
t84_gr96,,,,,,,,,,,143,143
t84_gr21,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.1,10,10
t62_gr21,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.14,15,15
t62_kroA100,,,,,,,,,,,976,976
t84_dantzig42,0.7s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.75,19,19
t62_bayg29,1.2s,5.0,5.0,5.0,0.0,5.0,5.0,1,,1.17,25,25
t84_brazil58,,1.0,,8.0,700.0,8.0,1.0,1,,7274.45,65,65
at84_ftv47,1.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,1.07,24,24
t62_ulysses16,0.1s,4.0,4.0,4.0,0.0,4.0,4.0,1,,0.12,12,12
at62_ft53,,,,,,,,,,,46,46
t62_gr17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.11,13,13
at62_ftv70,,,,,,,,,,,125,125
at62_ft70,,,,,,,,,,,186,186
at84_p43,3.1s,2.0,2.0,2.0,0.0,2.0,2.0,1,,3.09,14,14
t62_dantzig42,9.1s,6.0,7.0,7.0,16.67,7.0,6.0,1,,,54,54
t62_hk48,,,,,,,,,,,98,98
