instance_name,time_to_first_node,dual_bound_at_root,primal_bound_at_root,first_primal_bound,final_gap,primal_bound,dual_bound,number_of_nodes,timelimit,total_time,cg_iterations_total,cg_iterations_root
at62_ftv44,,6.0,,6.0,0.0,6.0,6.0,1,,101.21,61,61
t62_st70,,,,,,,,,,,122,122
at62_ftv35,3.0s,6.0,6.0,6.0,0.0,6.0,6.0,1,,3.04,25,25
t62_gr24,0.4s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.44,24,24
t84_gr48,3.7s,8.0,8.0,8.0,0.0,8.0,8.0,1,,3.71,41,41
at84_ftv64,23.2s,10.0,10.0,10.0,0.0,10.0,10.0,1,,23.21,44,44
at84_ft70,,,,,,,,,,,92,92
t84_gr24,0.1s,7.0,7.0,7.0,0.0,7.0,7.0,1,,0.12,11,11
t84_kroD100,,,,,,,,,,,117,117
t84_fri26,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.14,16,16
t84_bays29,0.2s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.16,18,18
at62_p43,,1.0,,1.0,0.0,1.0,1.0,1,,294.76,1,1
t62_gr96,,,,,,,,,,,269,269
at62_kro124p,,,,,,,,,,,186,186
at62_ftv38,11.9s,6.0,6.0,6.0,0.0,6.0,6.0,1,,11.86,45,45
t62_berlin52,,,,,,,,,,,114,114
t62_kroE100,,,,,,,,,,,832,832
at84_kro124p,,,,,,,,,,,65,65
t84_pr76,,9.0,,9.0,0.0,9.0,9.0,1,,1558.02,81,81
at62_ftv47,,6.0,,6.0,0.0,6.0,6.0,1,,219.6,47,47
t84_st70,16.2s,9.0,9.0,9.0,0.0,9.0,9.0,1,,16.25,65,65
at84_ftv38,1.0s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.99,23,23
at84_ftv35,0.3s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.31,20,20
t84_eil76,,8.0,,9.0,12.50,9.0,8.0,1,,,78,78
t62_kroB100,,,,,,,,,,,202,202
t62_eil51,,6.0,,6.0,0.0,6.0,6.0,1,,1336.8,56,56
t84_rat99,,,,,,,,,,,152,152
t84_swiss42,0.8s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.81,36,36
t62_att48,,6.0,,6.0,0.0,6.0,6.0,1,,4167.13,65,65
t84_kroB100,,,,,,,,,,,163,163
t84_ulysses16,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.09,14,14
at84_ftv55,7.3s,9.0,9.0,9.0,0.0,9.0,9.0,1,,7.28,40,40
t62_brazil58,,,,,,,,,,,680,680
t62_fri26,0.7s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.68,35,35
at84_ftv44,0.8s,9.0,9.0,9.0,0.0,9.0,9.0,1,,0.76,33,33
at84_ft53,38.8s,8.0,8.0,8.0,0.0,8.0,8.0,1,,38.79,47,47
t84_kroE100,,,,,,,,,,,124,124
t62_kroC100,,,,,,,,,,,462,462
at62_br17,0.1s,5.0,5.0,5.0,0.0,5.0,5.0,1,,0.08,5,5
t84_rd100,,,,,,,,,,,135,135
t84_att48,13.3s,8.0,8.0,8.0,0.0,8.0,8.0,1,,13.27,27,27
t84_bayg29,0.1s,8.0,8.0,8.0,0.0,8.0,8.0,1,,0.13,16,16
at84_br17,0.1s,6.0,6.0,6.0,0.0,6.0,6.0,1,,0.1,3,3
t62_kroD100,,,,,,,,,,,612,612
at62_ftv55,,6.0,,6.0,0.0,6.0,6.0,1,,491.3,84,84
t84_berlin52,,,,,,,,,,,63,63
